序,證券商,成交單價,買進股數,賣出股數
60,116G,34.15,0,"1,000"
61,116G,34.25,"1,000",0
62,116G,34.65,0,867
63,116H  日盛新竹,33.95,0,"10,000"
64,116i  日盛樹林,33.80,0,"5,000"
65,116i,33.85,"5,000","5,000"
66,116i,34.20,"5,000",0
67,116i,34.25,0,"5,000"
68,116i,34.30,0,"5,000"
69,116i,34.50,0,"4,000"
70,116i,34.55,0,"5,000"
71,116i,34.65,0,"1,000"
72,116I  日盛南京,33.80,"1,000",0
73,116m  日盛和美,34.10,0,"1,000"
74,116N  日盛永康,33.80,"2,000",0
75,116Q  日盛二林,34.30,0,"1,000"
76,116r  日盛文化,33.75,0,"5,000"
77,116V  日盛斗六,34.30,"2,000",0
78,116V,34.65,0,"1,000"
79,116W  日盛鳳山,33.90,"1,000",0
80,116W,34.15,"1,000",0
81,116Z  日盛中和,33.75,0,"2,000"
82,116Z,34.20,0,"5,000"
83,1230  彰    銀,34.40,0,"3,000"
84,1261  宏遠民生,34.10,"1,000",0
85,1261,34.20,"1,000",0
86,1261,34.65,0,"2,000"
87,126H  宏遠中和,34.25,0,"1,000"
88,126L  宏遠台中,33.85,"5,000",0
89,1440  美林,33.80,0,"1,000"
90,1440,33.95,0,"3,000"
91,1440,34.05,0,"8,000"
92,1440,34.10,0,"14,000"
93,1440,34.15,0,"16,000"
94,1440,34.20,0,"1,000"
95,1440,34.25,0,"1,000"
96,1470  台灣摩根,33.80,0,"6,000"
97,1470,33.85,0,"3,000"
98,1470,33.95,0,"3,000"
99,1470,34.00,0,"2,000"
100,1470,34.05,0,"2,000"
101,1470,34.10,0,"1,000"
102,1470,34.20,0,"13,000"
103,1470,34.25,0,"10,000"
104,1480  美商高盛,33.95,"1,000",0
105,1480,34.00,"1,000",0
106,1480,34.05,"20,000","6,000"
107,1480,34.10,"6,000","5,000"
108,1480,34.15,"25,000","1,000"
109,1480,34.25,"1,000",0
110,1480,34.65,"1,780",0
111,1520  瑞士信貸,33.70,"1,000",0
112,1520,33.75,"6,000",0
113,1520,33.80,"14,000",0
114,1520,33.85,"13,000",0
115,1520,33.90,"14,000",0
116,1520,33.95,"17,000",0
117,1520,34.00,"8,000",0
118,1520,34.05,"2,000",0
119,1520,34.10,"10,000",0
120,1520,34.15,"9,000",0
121,1520,34.20,"5,000",0
122,1520,34.25,"14,000",0
123,1520,34.30,"11,000",0
124,1520,34.35,"1,000",0
125,1520,34.50,"1,000",0
126,1520,34.65,0,"1,000"
127,1530  德意志,33.70,"1,000",0
128,1530,33.80,"8,000",0
129,1530,33.85,"22,000","4,000"
130,1530,33.90,"6,000",0
131,1530,33.95,0,"6,000"
132,1530,34.10,"2,000",0
133,1530,34.15,"2,000",0
134,1530,34.20,"9,000","3,000"
135,1530,34.25,"3,000","2,000"
136,1530,34.30,"5,000",0
137,1530,34.35,0,"10,000"
138,1530,34.40,"4,000",0
139,1530,34.65,0,"2,000"
140,1570  港商法興,33.85,0,"4,000"
141,1570,33.90,0,"1,000"
142,1570,34.70,"3,000",0
143,1590  花旗環球,33.85,"5,000",0
144,1590,33.90,"6,000",0
145,1590,34.00,"29,000",0
146,1590,34.05,"9,000",0
147,1590,34.10,"6,000",0
148,1590,34.15,"4,000",0
149,1590,34.20,"43,000",0
150,1590,34.25,"10,000",0
151,1590,34.65,"168,000",0
152,1650  瑞銀,33.75,0,"1,000"
153,1650,33.85,0,"25,000"
154,1650,33.90,0,"11,000"
155,1650,33.95,0,"6,000"
156,1650,34.00,0,"3,000"
157,1650,34.15,0,"9,000"
158,1650,34.20,0,"6,000"
159,1650,34.25,0,"6,000"
160,1650,34.30,0,"2,000"
161,1650,34.35,0,"1,000"
162,1650,34.70,0,"43,000"
163,2184  亞東新竹,34.30,0,"1,000"
164,2186  亞東高雄,34.65,10,0
165,5059  大展武昌,33.80,"1,000",0
166,5262  大慶楊梅,34.00,0,"1,000"
167,5266  大慶中壢,34.20,0,"1,000"
168,526B  大慶復興,34.25,"5,000",0
169,526B,34.30,"5,000",0
170,526K  大慶富順,33.90,0,"5,000"
171,526K,34.30,0,"1,000"
172,526K,34.35,0,"1,000"
173,526K,34.40,0,"2,000"
174,526K,34.50,0,"1,000"
175,5320  高    橋,33.80,"1,000",0
176,5320,33.85,0,"2,000"
177,5321  高橋龍潭,33.75,"1,000",0
178,5383  第一高雄,33.80,"1,000",0
179,5383,33.85,"1,000",0
180,5383,34.05,"1,000",0
181,5385  第一桃園,34.10,0,"1,000"
182,538A  第一新興,33.90,"1,000",0
183,538A,34.65,0,"2,000"
184,538E  第一自由,33.90,0,"5,000"
185,538E,34.00,0,"6,000"
186,538I  第一頭份,34.05,"5,000",0
187,538L  第一華山,34.70,0,"2,000"
188,538N  第一豐原,34.00,0,"1,000"
189,538N,34.65,0,"2,000"
190,538Y  第一中壢,33.90,"8,000",0
191,5850  統    一,33.80,"40,000",0
192,5850,33.85,"6,000","13,000"
193,5850,33.90,"1,000",0
194,5850,34.00,0,"2,000"
195,5850,34.05,"1,000",0
196,5850,34.10,"3,000",0
197,5850,34.15,"1,000","1,000"
198,5850,34.20,"59,000","1,000"
199,5850,34.25,"20,000","4,000"
200,5850,34.30,0,"10,000"
201,5850,34.35,"36,000",0
202,5850,34.40,"24,000",0
203,5850,34.65,0,"7,000"
